product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,sku_rows,category_count,categories
Ching's Secret Mix Veg Instant Soup,10.0,10.0,0,3,15,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Noodles - Pad Thai Original,200.0,200.0,0,6,130,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli,200.0,200.0,0,6,130,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Red Chilli Sauce,105.0,105.0,0,4,440,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
"Ching's Secret Sauce, Green Chilli",55.0,55.0,0,5,190,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Schezwan Fried Rice Masala,15.0,15.0,0,6,20,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Schezwan Instant Noodle,114.0,114.0,0,6,480,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Singapore Curry Instant Noodles,15.0,15.0,0,3,60,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Sweet Corn Soup,55.0,55.0,0,6,55,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Tomato Instant Soup,10.0,10.0,0,1,16,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Tomato Oats Instant Soup,15.0,15.0,0,3,20,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Ching's Secret Tomato Soup,55.0,55.0,0,6,55,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Chings Instant Soup - Hot & Sour,10.0,10.0,0,1,15,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Chings Instant Soup - Sweet Corn Veg,10.0,10.0,0,2,15,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Chings Secret Hot Garlic Instant Noodles,91.0,91.0,0,6,60,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Chings Secret Manchurian Instant Noodle,60.0,60.0,0,6,240,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Cornitos Cornitos Taco Shells - 6 Inches,160.0,128.0,20,4,180,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Dabur Hommade - Imli Sauce Saunth,20.0,18.0,10,0,100,True,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Dabur Hommade - Kalonji Tamatar Ki Chutney,65.0,61.0,6,6,200,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Dabur Hommade - Rajasthan Ki Garlic Chutne,65.0,61.0,6,6,200,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Black Sliced Olives,250.0,250.0,0,1,450,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Eggless Mayo,135.0,126.0,6,0,500,True,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Green Chili Sauce,55.0,55.0,0,3,190,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Natural Vinegar,55.0,53.0,3,0,180,True,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Original Blend Tomato Ketchup Pouch,120.0,111.0,7,0,950,True,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Pitted Green Olives,250.0,250.0,0,0,450,True,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Pizza & Pasta Sauce Spout Pack,99.0,99.0,0,3,400,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Red Chili Sauce,55.0,55.0,0,5,190,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Del Monte Schezwan Sauce,55.0,55.0,0,0,190,True,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
