priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
177,2879,"Paan Corner","MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",399.0,369.0,7,0,26,1,6.14,0.0,50
178,3611,"Personal Care","MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",399.0,369.0,7,0,26,1,6.14,0.0,50
179,383,"Chocolates & Candies","Hershey's Cocoa + Almond Spread",295.0,266.0,9,0,350,1,11.6,0.0,50
180,1798,"Ice Cream & Desserts","Hershey's Cocoa + Almond Spread",295.0,266.0,9,0,350,1,11.6,0.0,50
181,3107,"Packaged Food","Hershey's Cocoa + Almond Spread",295.0,266.0,9,0,350,1,11.6,0.0,50
182,658,"Chocolates & Candies","Yummiez Green Peas",250.0,250.0,0,0,1000,1,11.6,0.0,50
183,1635,"Home & Cleaning","Origami Plates Plain",250.0,225.0,10,0,100,1,9.84,0.0,50
184,2073,"Ice Cream & Desserts","Yummiez Green Peas",250.0,250.0,0,0,1000,1,11.6,0.0,50
185,3382,"Packaged Food","Yummiez Green Peas",250.0,250.0,0,0,1000,1,11.6,0.0,50
186,1443,"Health & Hygiene","Gillette Venus Close & Clean Razor",249.0,230.0,7,0,58,1,13.4,0.0,50
187,2776,"Paan Corner","Gillette Venus Close & Clean Razor",249.0,230.0,7,0,58,1,6.14,0.0,50
188,3508,"Personal Care","Gillette Venus Close & Clean Razor",249.0,230.0,7,0,58,1,6.14,0.0,50
189,2936,"Paan Corner","Parachute Advansed Gold Coconut Hair Oil",215.0,194.0,9,0,400,1,6.14,0.0,50
190,3668,"Personal Care","Parachute Advansed Gold Coconut Hair Oil",215.0,194.0,9,0,400,1,6.14,0.0,50
191,891,"Cooking Essentials","India Gate Basmati Rice",210.0,210.0,0,0,1000,1,12.45,0.0,50
